name/season,shots,top-speed,duels-won,aerial-duels-won,crosses,fouls,distance,sprints,intensive-runs
exequiel-palacios_2023/2024,21.0,32.86,218.0,10.0,4.0,18.0,235.4,418.0,1351.0
xaver-schlager_2023/2024,21.0,33.02,282.0,28.0,3.0,33.0,306.3,410.0,1700.0
robin-koch_2023/2024,21.0,33.38,250.0,99.0,1.0,20.0,325.3,476.0,1565.0
marvin-mehlem_2023/2024,21.0,32.51,146.0,16.0,11.0,20.0,187.4,407.0,1271.0
joakim-mahle_2023/2024,21.0,33.79,221.0,29.0,48.0,17.0,330.1,854.0,2399.0
florian-grillitsch_2023/2024,21.0,33.07,239.0,46.0,6.0,26.0,284.6,351.0,1387.0
nathan-tella_2023/2024,21.0,34.6,81.0,5.0,16.0,8.0,105.7,359.0,853.0
karim-adeyemi_2023/2024,20.0,35.36,124.0,14.0,13.0,19.0,118.6,364.0,895.0
fabian-nurnberger_2023/2024,20.0,33.77,144.0,14.0,33.0,17.0,183.9,413.0,1218.0
yannick-gerhardt_2023/2024,20.0,33.31,133.0,34.0,18.0,20.0,214.3,474.0,1677.0
vaclav-cerny_2023/2024,20.0,34.08,58.0,1.0,19.0,8.0,129.7,404.0,1161.0
dion-beljo_2023/2024,20.0,32.09,64.0,23.0,3.0,9.0,79.1,144.0,493.0
atakan-karazor_2023/2024,20.0,31.52,326.0,50.0,1.0,28.0,340.4,432.0,1976.0
nick-woltemade_2023/2024,20.0,34.0,212.0,31.0,4.0,17.0,157.2,264.0,906.0
steffen-tigges_2023/2024,20.0,31.74,100.0,44.0,4.0,6.0,106.6,212.0,834.0
timo-hubers_2023/2024,19.0,33.25,329.0,108.0,1.0,40.0,318.8,455.0,1539.0
tom-kraus_2023/2024,19.0,32.75,168.0,16.0,5.0,29.0,173.3,466.0,1186.0
brenden-aaronson_2023/2024,19.0,34.18,198.0,12.0,13.0,15.0,186.3,476.0,1430.0
kevin-paredes_2023/2024,19.0,33.72,197.0,18.0,27.0,9.0,182.1,534.0,1422.0
benedikt-gimber_2023/2024,19.0,32.46,209.0,58.0,2.0,39.0,224.0,288.0,948.0
julian-weigl_2023/2024,19.0,30.95,267.0,32.0,3.0,35.0,373.7,322.0,1782.0
tobias-kempe_2023/2024,19.0,31.92,108.0,13.0,8.0,14.0,174.0,254.0,1147.0
raphael-guerreiro_2023/2024,19.0,31.37,84.0,3.0,18.0,3.0,151.8,284.0,1099.0
andras-schafer_2023/2024,19.0,33.88,184.0,24.0,13.0,22.0,172.1,348.0,1105.0
julian-ryerson_2023/2024,18.0,33.27,195.0,11.0,30.0,18.0,226.1,501.0,1433.0
alex-kral_2023/2024,18.0,33.32,113.0,15.0,11.0,13.0,187.6,309.0,1112.0
sheraldo-becker_2023/2024,18.0,36.07,43.0,3.0,50.0,4.0,75.3,278.0,587.0
tuta_2023/2024,18.0,33.23,284.0,72.0,9.0,28.0,316.2,516.0,1872.0
julian-justvan_2023/2024,18.0,32.94,97.0,4.0,19.0,2.0,136.6,252.0,915.0
ozan-kabak_2023/2024,18.0,33.21,261.0,88.0,2.0,29.0,264.7,403.0,1340.0
angelo-stiller_2023/2024,18.0,31.3,297.0,39.0,20.0,32.0,356.2,379.0,1902.0
maximilian-wober_2023/2024,18.0,32.74,233.0,62.0,16.0,26.0,246.8,347.0,1192.0
ko-itakura_2023/2024,18.0,33.02,139.0,42.0,1.0,28.0,172.1,235.0,766.0
wooyeong-jeong_2023/2024,18.0,34.36,56.0,4.0,6.0,4.0,95.4,320.0,824.0
hiroki-ito_2023/2024,18.0,33.91,157.0,43.0,15.0,16.0,258.5,430.0,1203.0
iago_2023/2024,18.0,34.82,190.0,20.0,32.0,14.0,214.0,637.0,1573.0
konrad-laimer_2023/2024,17.0,34.49,229.0,14.0,17.0,26.0,219.8,528.0,1324.0
dawid-kownacki_2023/2024,17.0,33.52,53.0,34.0,2.0,9.0,55.4,162.0,394.0
emre-can_2023/2024,17.0,35.15,251.0,42.0,2.0,26.0,237.8,384.0,1220.0
adam-hlozek_2023/2024,17.0,33.89,56.0,8.0,,8.0,67.5,133.0,454.0
ellyes-skhiri_2023/2024,17.0,31.35,221.0,32.0,2.0,13.0,306.7,385.0,1867.0
luca-netz_2023/2024,17.0,34.11,221.0,44.0,39.0,24.0,276.2,609.0,1902.0
matthias-bader_2023/2024,17.0,33.43,211.0,17.0,23.0,17.0,221.6,456.0,1484.0
piero-hincapie_2023/2024,17.0,34.36,156.0,41.0,7.0,16.0,190.0,397.0,1201.0
josha-vagnoman_2023/2024,17.0,35.87,114.0,14.0,16.0,8.0,157.3,450.0,1136.0
mats-hummels_2023/2024,16.0,32.44,185.0,46.0,1.0,12.0,176.3,253.0,859.0
edimilson-fernandes_2023/2024,16.0,32.9,111.0,24.0,7.0,11.0,153.0,240.0,862.0
erhan-masovic_2023/2024,16.0,31.98,208.0,46.0,3.0,21.0,259.2,366.0,1397.0
olivier-deman_2023/2024,16.0,32.09,148.0,24.0,31.0,25.0,193.1,469.0,1470.0
jeff-chabot_2023/2024,15.0,32.78,327.0,119.0,3.0,27.0,301.2,444.0,1547.0
ramy-bensebaini_2023/2024,15.0,33.05,163.0,22.0,16.0,12.0,123.5,307.0,844.0
danilho-doekhi_2023/2024,15.0,31.88,229.0,70.0,2.0,14.0,250.5,270.0,1081.0
mario-gotze_2023/2024,15.0,30.95,216.0,8.0,25.0,14.0,278.2,479.0,2145.0
jessic-ngankam_2023/2024,15.0,33.71,44.0,1.0,1.0,20.0,64.3,168.0,460.0
emir-karic_2023/2024,15.0,33.31,173.0,28.0,37.0,16.0,227.4,492.0,1504.0
jan-schoppner_2023/2024,15.0,31.92,218.0,52.0,4.0,15.0,281.1,436.0,1780.0
pavel-kaderabek_2023/2024,15.0,32.17,195.0,79.0,92.0,16.0,304.7,570.0,1934.0
sven-michel_2023/2024,15.0,32.37,60.0,23.0,7.0,12.0,85.7,237.0,653.0
fredrik-jensen_2023/2024,15.0,32.83,106.0,23.0,32.0,13.0,176.9,505.0,1385.0
ivan-ordets_2023/2024,15.0,31.56,259.0,152.0,1.0,25.0,219.9,378.0,1175.0
